terms,titles,abstracts
,Explainable AI (XAI) Using SHAP and LIME for Financial Fraud Detection and Credit Scoring,"Financial fraud detection and credit scoring are two important applications in the financial domain on which high accuracy and interpretability are required. While Random Forests and XGBoost algorithms of the third generation produce good prediction quality, there is no way to explain the prediction results and they do not meet transparency criteria of regulators. The work in this paper focuses on the incorporation of Explainable AI (XAI) methods such as SHAP (SHapley Additive exPlanations) and LIME (Local Interpretable Model-agnostic Explanations) to combat these issues of concern under trust, compliance and accountability within these models. Decision Trees were employed for the detection of fraud while Random Forest was employed for credit scoring, SHAP was used for global feature importance and LIME for instance explanations. The model for fraud detection had accuracy of 95% and SHAP found the characteristics of transactions such as amount and frequency significant for fraud detection, While, the credit scoring model that had 76% accuracy and with the help of LIME, the debt ratios and payment history of the credit contenders was found important. The integration of SHAP and LIME improves the model interpretability and fairness, and makes the stakeholders and regulating authorities to trust AI solutions that will be used in the future of financial companies."
,Explainable AI for Fraud Detection: Enhancing Transparency and Trust in Financial Decision-Making,"Within the past few a long time, utilizing Counterfeit Insights (AI) to discover extortion in managing an account frameworks has gotten a parcel of consideration since it seem make things more secure and more effective. But when AI models are utilized, particularly in critical areas like keeping money, there has to be a adjust between exactness and openness. This exposition looks at how Logical AI (XAI) can offer assistance unravel these issues by making trick discovery frameworks less demanding to understand. This will lead to more openness and trust within the ways that monetary choices are made. The most reason of this think about is to see into how XAI strategies can offer assistance us get it how complex AI models utilized for trick spotting truly work. By clarifying how these models make choices, XAI not as it were increments openness but too makes a difference individuals who have a stake within the matter, like budgetary controllers, bookkeepers, and conclusion clients, get it why certain choices are made. This information is exceptionally critical for making beyond any doubt that individuals are held dependable and take after the rules set by the Basel Committee on Managing an account Supervision (BCBS) and the Common Information Security Control (GDPR). The think about moreover looks at diverse XAI strategies and how they can be utilized to find fraud. These incorporate model-agnostic approaches such as LIME (Nearby Interpretable Model-agnostic Clarifications) and SHAP (SHapley Added substance Clarifications). These strategies grant you data around how critical highlights are by appearing you which components have the greatest affect on foreseeing extortion. These sorts of findings not as it were offer assistance to test and progress models, but they moreover allow money related educate more data to assist them make superior choices approximately how to handle hazard and halt tricks. This consider moreover talks about the benefits of XAI that go beyond just being able to be deciphered. For illustration, it talks approximately how it can offer assistance construct believe among accomplices. XAI makes a space where subject specialists can work together to check the exactness of AI-made choices and make models superior by closing the hole between AI's ability to foresee the future and human instinctual."
,Explainable AI in Robotics: A Critical Review and Implementation Strategies for Transparent Decision-Making,"The rapid advancement of AI-driven robotic systems has introduced significant challenges related to transparency and trust, particularly in safety-critical applications. This review paper critically examines the current approaches to Explainable AI (xAI) in robotics, emphasizing the inherent trade-offs between performance and transparency. While high-performance AI models are essential for complex robotic tasks, their opacity often undermines trust and limits adoption. To address this, the paper proposes a comprehensive framework for implementing xAI in robotics, including strategies such as modular architecture, hybrid models, and human-centered design. The paper also discusses key design considerations and evaluation metrics that ensure a balance between interpretability and operational effectiveness. Finally, the paper reflects on the implications of these strategies for the future of robotics. It suggests avenues for further research to enhance the integration of xAI, aiming to create more trustworthy and reliable robotic systems."
,Minecraft as an Experimental World for AI in Robotics,
,Fog Cloud Computing and IoT Integration for AI enabled Autonomous Systems in Robotics,"Fog Cloud Computing and the Internet of Things are transforming robotics by empowering AI-enabled autonomous systems. This study analyzes the benefits, drawbacks, and uses of this integration. AI-enabled autonomous robots can use edge computing and cloud resources for real-time data processing and decision-making, improving their performance and adaptability. Communication protocols, data management, security, and scalability are examined in the ecosystem. Case studies reveal how this confluence affects robotics applications. This research shows how FCC, IoT, and AI may improve robotic systems' efficiency, intelligence, and autonomy. The article covers AI-enabled autonomous systems in transportation, manufacturing, healthcare, agriculture, and smart cities. These technologies can improve productivity and safety in many fields, from self-driving automobiles to surgical robots. Integrating these technologies raises safety, ethical decision-making, data privacy, and security concerns. The report emphasizes transparent and ethical AI algorithms, unbiased decision-making, and regulatory frameworks to enable responsible integration and mitigate dangers. In the future, AI-enabled autonomous systems will be shaped by improved AI algorithms, multi-modal sensing, human-robot collaboration, and edge intelligence. It emphasizes the necessity of interdisciplinary collaboration and ethical considerations in responsible technology development. This study concludes with a detailed analysis of fog/cloud computing, IoT, and AI in robotics, revealing the immense promise and problems of AI-enabled autonomous systems. Responsible development and collaboration can help us negotiate this transformational frontier and create a safer, more efficient, and innovative society with AI-driven autonomous systems."
,A Personalized MOOC Learning Group and Course Recommendation Method Based on Graph Neural Network and Social Network Analysis,
,Social Network Analysis using RLVECN: Representation Learning via Knowledge-Graph Embeddings and Convolutional Neural-Network,
,Advanced Analysis of Dynamic Graphs in Social and Neural Networks,
,PPFedGNN: An Efficient Privacy-Preserving Federated Graph Neural Network Method for Social Network Analysis,
,Modeling and Sentiment Analysis of Social Relationships in Elderly Smart Homes Based on Graph Neural Networks,
,From local explanations to global understanding with explainable AI for trees,
,Yi: Open Foundation Models by 01.AI,"We introduce the Yi model family, a series of language and multimodal models that demonstrate strong multi-dimensional capabilities. The Yi model family is based on 6B and 34B pretrained language models, then we extend them to chat models, 200K long context models, depth-upscaled models, and vision-language models. Our base models achieve strong performance on a wide range of benchmarks like MMLU, and our finetuned chat models deliver strong human preference rate on major evaluation platforms like AlpacaEval and Chatbot Arena. Building upon our scalable super-computing infrastructure and the classical transformer architecture, we attribute the performance of Yi models primarily to its data quality resulting from our data-engineering efforts. For pretraining, we construct 3.1 trillion tokens of English and Chinese corpora using a cascaded data deduplication and quality filtering pipeline. For finetuning, we polish a small scale (less than 10K) instruction dataset over multiple iterations such that every single instance has been verified directly by our machine learning engineers. For vision-language, we combine the chat language model with a vision transformer encoder and train the model to align visual representations to the semantic space of the language model. We further extend the context length to 200K through lightweight continual pretraining and demonstrate strong needle-in-a-haystack retrieval performance. We show that extending the depth of the pretrained checkpoint through continual pretraining further improves performance. We believe that given our current results, continuing to scale up model parameters using thoroughly optimized data will lead to even stronger frontier models."
,Education in the Era of Generative Artificial Intelligence (AI): Understanding the Potential Benefits of ChatGPT in Promoting Teaching and Learning,"Since its maiden release into the public domain on November 30, 2022, ChatGPT garnered more than one million subscribers within a week. The generative AI tool ⎼ChatGPT took the world by surprise with it sophisticated capacity to carry out remarkably complex tasks. The extraordinary abilities of ChatGPT to perform complex tasks within the field of education has caused mixed feelings among educators, as this advancement in AI seems to revolutionize existing educational praxis. This is an exploratory study that synthesizes recent extant literature to offer some potential benefits and drawbacks of ChatGPT in promoting teaching and learning. Benefits of ChatGPT include but are not limited to promotion of personalized and interactive learning, generating prompts for formative assessment activities that provide ongoing feedback to inform teaching and learning etc. The paper also highlights some inherent limitations in the ChatGPT such as generating wrong information, biases in data training, which may augment existing biases, privacy issues etc. The study offers recommendations on how ChatGPT could be leveraged to maximize teaching and learning. Policy makers, researchers, educators and technology experts could work together and start conversations on how these evolving generative AI tools could be used safely and constructively to improve education and support students’ learning."
,The AI Scientist: Towards Fully Automated Open-Ended Scientific Discovery,"One of the grand challenges of artificial general intelligence is developing agents capable of conducting scientific research and discovering new knowledge. While frontier models have already been used as aides to human scientists, e.g. for brainstorming ideas, writing code, or prediction tasks, they still conduct only a small part of the scientific process. This paper presents the first comprehensive framework for fully automatic scientific discovery, enabling frontier large language models to perform research independently and communicate their findings. We introduce The AI Scientist, which generates novel research ideas, writes code, executes experiments, visualizes results, describes its findings by writing a full scientific paper, and then runs a simulated review process for evaluation. In principle, this process can be repeated to iteratively develop ideas in an open-ended fashion, acting like the human scientific community. We demonstrate its versatility by applying it to three distinct subfields of machine learning: diffusion modeling, transformer-based language modeling, and learning dynamics. Each idea is implemented and developed into a full paper at a cost of less than $15 per paper. To evaluate the generated papers, we design and validate an automated reviewer, which we show achieves near-human performance in evaluating paper scores. The AI Scientist can produce papers that exceed the acceptance threshold at a top machine learning conference as judged by our automated reviewer. This approach signifies the beginning of a new era in scientific discovery in machine learning: bringing the transformative benefits of AI agents to the entire research process of AI itself, and taking us closer to a world where endless affordable creativity and innovation can be unleashed on the world's most challenging problems. Our code is open-sourced at https://github.com/SakanaAI/AI-Scientist"
,Probabilistic robotics,
,Vision meets robotics: The KITTI dataset,
,A Mathematical Introduction to Robotic Manipulation,
,Robot Motion Planning,
,Constitutional AI: Harmlessness from AI Feedback,"As AI systems become more capable, we would like to enlist their help to supervise other AIs. We experiment with methods for training a harmless AI assistant through self-improvement, without any human labels identifying harmful outputs. The only human oversight is provided through a list of rules or principles, and so we refer to the method as 'Constitutional AI'. The process involves both a supervised learning and a reinforcement learning phase. In the supervised phase we sample from an initial model, then generate self-critiques and revisions, and then finetune the original model on revised responses. In the RL phase, we sample from the finetuned model, use a model to evaluate which of the two samples is better, and then train a preference model from this dataset of AI preferences. We then train with RL using the preference model as the reward signal, i.e. we use 'RL from AI Feedback' (RLAIF). As a result we are able to train a harmless but non-evasive AI assistant that engages with harmful queries by explaining its objections to them. Both the SL and RL methods can leverage chain-of-thought style reasoning to improve the human-judged performance and transparency of AI decision making. These methods make it possible to control AI behavior more precisely and with far fewer human labels."
,TRIPOD+AI statement: updated guidance for reporting clinical prediction models that use regression or machine learning methods,"The TRIPOD (Transparent Reporting of a multivariable prediction model for Individual Prognosis Or Diagnosis) statement was published in 2015 to provide the minimum reporting recommendations for studies developing or evaluating the performance of a prediction model. Methodological advances in the field of prediction have since included the widespread use of artificial intelligence (AI) powered by machine learning methods to develop prediction models. An update to the TRIPOD statement is thus needed. TRIPOD+AI provides harmonised guidance for reporting prediction model studies, irrespective of whether regression modelling or machine learning methods have been used. The new checklist supersedes the TRIPOD 2015 checklist, which should no longer be used. This article describes the development of TRIPOD+AI and presents the expanded 27 item checklist with more detailed explanation of each reporting recommendation, and the TRIPOD+AI for Abstracts checklist. TRIPOD+AI aims to promote the complete, accurate, and transparent reporting of studies that develop a prediction model or evaluate its performance. Complete reporting will facilitate study appraisal, model evaluation, and model implementation."
,Swin Transformer: Hierarchical Vision Transformer using Shifted Windows,
,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,
,Transformer-Based Feature Learning for Algorithm Selection in Combinatorial Optimisation,
,Transformers: State-of-the-Art Natural Language Processing,
,Exploring the Limits of Transfer Learning with a Unified Text-to-Text\n Transformer,
,Emerging Properties in Self-Supervised Vision Transformers,
,SwinIR: Image Restoration Using Swin Transformer,
,Hierarchical Vision Transformer Using Shifted Windows for Skeleton-Based Action Recognition,"Skeleton-based human action recognition has gained significant attention due to the increasing accessibility of skeleton data. In this work, we propose a method for skeleton-based action recognition that leverages a hierarchical vision transformer with shifted windows, known as the Swin Transformer, combined with a self-supervised learning strategy inspired by Simple Masked Image Modeling (SimMIM). The Swin Transformer restricts selfattention to local windows and enables cross-window information exchange through a shift mechanism. This design ensures scalability with longer skeleton sequences while maintaining a balance between local and global context modeling and reducing feature redundancy. Given the limited availability of labeled data, especially for training large transformer-based models, we incorporate a self-supervised pre-training stage. This pretraining follows the SimMIM strategy, where masked patches of raw skeleton sequences are reconstructed using a one-layer linear head and L1 loss. This encourages the model to capture meaningful motion patterns even with partially visible data. Our method demonstrates competitive performance on public available datasets, including NTU RGB+D 60 and NTU RGB+D 120."
,Speech Swin-Transformer: Exploring a Hierarchical Transformer with Shifted Windows for Speech Emotion Recognition,"Swin-Transformer has demonstrated remarkable success in computer vision by leveraging its hierarchical feature representation based on Transformer. In speech signals, emotional information is distributed across different scales of speech features, e. g., word, phrase, and utterance. Drawing above inspiration, this paper presents a hierarchical speech Transformer with shifted windows to aggregate multi-scale emotion features for speech emotion recognition (SER), called Speech Swin-Transformer. Specifically, we first divide the speech spectrogram into segment-level patches in the time domain, composed of multiple frame patches. These segment-level patches are then encoded using a stack of Swin blocks, in which a local window Transformer is utilized to explore local inter-frame emotional information across frame patches of each segment patch. After that, we also design a shifted window Transformer to compensate for patch correlations near the boundaries of segment patches. Finally, we employ a patch merging operation to aggregate segment-level emotional features for hierarchical speech representation by expanding the receptive field of Transformer from frame-level to segment-level. Experimental results demonstrate that our proposed Speech Swin-Transformer outperforms the state-of-the-art methods."
,"Comparative Study of Vision Transformer (ViT), Swin Transformer, and Transformer in Transformer (TNT) on Image Classification","The advent of transformer models in computer vision has revolutionized image classification, significantly improving performance compared to standard convolutional neural networks (CNNs). Among these models, the Vision Transformer (ViT), Swin Transformer, and Transformer in Transformer (TNT) represent three leading architectures that apply self-attention mechanisms to image data. In this paper, we perform a comparative evaluation of these models using the CIFAR-10 dataset, focusing on classification performance, computational complexity, and training efficiency. We assess each model using accuracy, precision, recall, F1-score, AUC, and confusion matrices. ViT provides a simple yet powerful mechanism for leveraging global context in image understanding. Swin Transformer introduces a hierarchical design and shifted windows to improve computational efficiency. TNT enhances the process further by enabling fine-grained local and global attention through inner- patch and patch tokenization. Our findings indicate that while TNT achieves the highest overall accuracy and robustness, Swin Transformer maintains an excellent balance between accuracy and computational efficiency on smaller datasets like CIFAR-10."
,MoAFormer: Aggregating Adjacent Window Features into Local Vision Transformer Using Overlapped Attention Mechanism for Volumetric Medical Segmentation,"The window-based attention is used to alleviate the problem of abrupt increase in computation as the input image resolution grows and shows excellent performance. However, the problem that aggregating global features from different windows is waiting to be resolved. Swin-Transformer is proposed to construct hierarchical encoding by a shifted-window mechanism to interactively learn the information between different windows. In this work, we investigate the outcome of applying an overlapped attention block (MoA) after the local attention layer and apply plenty to medical image segmentation tasks. The overlapped attention module employs slightly larger and overlapped patches in the key and value to enable neighbouring pixel information transmission, which leads to significant performance gain. The experimental results on the ACDC and Synapse datasets demonstrate that the used method performs better than previous Transformer models."
,Swin-GA-RF: genetic algorithm-based Swin Transformer and random forest for enhancing cervical cancer classification,"Cervical cancer is a prevalent and concerning disease affecting women, with increasing incidence and mortality rates. Early detection plays a crucial role in improving outcomes. Recent advancements in computer vision, particularly the Swin transformer, have shown promising performance in image classification tasks, rivaling or surpassing traditional convolutional neural networks (CNNs). The Swin transformer adopts a hierarchical and efficient approach using shifted windows, enabling the capture of both local and global contextual information in images. In this paper, we propose a novel approach called Swin-GA-RF to enhance the classification performance of cervical cells in Pap smear images. Swin-GA-RF combines the strengths of the Swin transformer, genetic algorithm (GA) feature selection, and the replacement of the softmax layer with a random forest classifier. Our methodology involves extracting feature representations from the Swin transformer, utilizing GA to identify the optimal feature set, and employing random forest as the classification model. Additionally, data augmentation techniques are applied to augment the diversity and quantity of the SIPaKMeD1 cervical cancer image dataset. We compare the performance of the Swin-GA-RF Transformer with pre-trained CNN models using two classes and five classes of cervical cancer classification, employing both Adam and SGD optimizers. The experimental results demonstrate that Swin-GA-RF outperforms other Swin transformers and pre-trained CNN models. When utilizing the Adam optimizer, Swin-GA-RF achieves the highest performance in both binary and five-class classification tasks. Specifically, for binary classification, it achieves an accuracy, precision, recall, and F1-score of 99.012, 99.015, 99.012, and 99.011, respectively. In the five-class classification, it achieves an accuracy, precision, recall, and F1-score of 98.808, 98.812, 98.808, and 98.808, respectively. These results underscore the effectiveness of the Swin-GA-RF approach in cervical cancer classification, demonstrating its potential as a valuable tool for early diagnosis and screening programs."
,Efficient Alzheimer’s Stage Classification Using Swin Transformer from Paired MRI Planes,"This study uses Swin Transformer (ST), a local, hierarchical attention mechanism with shifted windows, to effectively and computationally efficiently classify Alzheimer’s disease (AD) stages from 3D MRI data. MRI images from the ADNI dataset that represented the stages of advanced AD (AAD), mild cognitive impairment (MCI), and cognitively normal (CN) were considered for validation. The most informative 10–12 2D MRI slices from axial (A<inf>x</inf>), sagittal (S<inf>g</inf>), and coronal (C<inf>r</inf>) planes were selected for three experimental cases: A<inf>x_</inf> C<inf>r</inf>, A<inf>x_</inf> S<inf>g</inf>, and C<inf>r_</inf> S<inf>g</inf>. The ST achieved comparable accuracy (A<inf>c</inf>: 92.9%), with ST’s improved sensitivity (Sen: 94%) and specificity (Spe: 97%), while reduced computational complexity by 95% w.r.t to use of traditional Vision Transformers. Further, a pre-trained ST model achieved A<inf>c</inf> upto 94.5%, demonstrating its potential for real-world MRI based analysis."
